id:ID,:LABEL,name
Guideline|GUIDELINES_ON_DATA_PROTECTION_OFFICERS,Guideline,Guidelines on Data Protection Officers
Guideline|EDPB_OPINION_3_2019_ON_THE_INTERPLAY_BETWEEN_THE_CLINICAL_TRIALS_REGULATION_AND_THE_GDPR,Guideline,EDPB Opinion 3/2019 on the interplay between the Clinical Trials Regulation and the GDPR
Guideline|EDPB_GUIDELINES_1_2024_ON_PROCESSING_PERSONAL_DATA_BASED_ON_LEGITIMATE_INTEREST,Guideline,EDPB Guidelines 1/2024 on processing personal data based on legitimate interest
Guideline|GUIDELINES_3_2019_ON_PROCESSING_OF_PERSONAL_DATA_THROUGH_VIDEO_DEVICES,Guideline,Guidelines 3/2019 on processing of personal data through video devices
Guideline|EDPB_GUIDELINES_ON_CONSENT_AS_A_LEGAL_BASIS_FOR_THE_PROCESSING_OF_PERSONAL_DATA_IN_EMPLOYMENT_RELATIONSHIPS,Guideline,EDPB Guidelines on consent as a legal basis for the processing of personal data in employment relationships
Guideline|EDPB_GUIDELINES_2_2020_ON_ARTICLES_46_2_A_AND_46_3_B_GDPR,Guideline,EDPB Guidelines 2/2020 on Articles 46(2)(a) and 46(3)(b) GDPR
Guideline|EDPB_STATEMENT_04_2021,Guideline,EDPB Statement 04/2021
Guideline|GUIDELINES_2_2019_ON_ARTICLE_6_1_F,Guideline,Guidelines 2/2019 on Article 6(1)(f)
Guideline|GUIDELINES_05_2020_ON_CONSENT,Guideline,Guidelines 05/2020 on consent
Guideline|GUIDELINES_ON_COOKIES_AND_OTHER_TRACKING_TOOLS_OF_10_JUNE_2021,Guideline,Guidelines on cookies and other tracking tools of 10 June 2021
Guideline|EDPB_GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_DATA_CONTROLLER_AND_DATA_PROCESSOR_UNDER_THE_GDPR,Guideline,EDPB Guidelines 07/2020 on the concepts of data controller and data processor under the GDPR
Guideline|GUIDELINES_1_2024_ON_PROCESSING_OF_PERSONAL_DATA_BASED_ON_ARTICLE_6_1_F,Guideline,Guidelines 1/2024 on processing of personal data based on Article 6(1)(f)
Guideline|GUIDELINES_5_2020_ON_CONSENT_UNDER_REGULATION_EU_2016_679,Guideline,Guidelines 5/2020 on consent under Regulation (EU) 2016/679
Guideline|OPINION_03_2013_ON_PURPOSE_LIMITATION,Guideline,Opinion 03/2013 on purpose limitation
Guideline|GUIDELINES_ON_TRANSPARENCY_PURSUANT_TO_REGULATION_2016_679,Guideline,Guidelines on transparency pursuant to Regulation 2016/679
Guideline|OPINION_28_2024_ON_CERTAIN_DATA_PROTECTION_ASPECTS_RELATED_TO_THE_PROCESSING_OF_PERSONAL_DATA_IN_THE_CONTEXT_OF_AI_MODELS,Guideline,Opinion 28/2024 on certain data protection aspects related to the processing of personal data in the context of AI models
Guideline|GUIDELINES_1_2022_ON_DATA_SUBJECT_RIGHTS_RIGHT_OF_ACCESS,Guideline,Guidelines 1/2022 on data subject rights - Right of access
Guideline|OPINION_05_2014_ON_ANONYMIZATION_TECHNIQUES,Guideline,Opinion 05/2014 on anonymization techniques
Guideline|GUIDELINES_9_2022_ON_THE_NOTIFICATION_OF_PERSONAL_DATA_BREACH_UNDER_THE_GDPR,Guideline,Guidelines 9/2022 on the Notification of Personal Data Breach under the GDPR
Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_DATA_CONTROLLER_AND_DATA_PROCESSOR_UNDER_THE_GDPR,Guideline,Guidelines 07/2020 on the concepts of data controller and data processor under the GDPR
Guideline|GUIDELINES_ON_THE_NOTIFICATION_OF_PERSONAL_DATA_BREACHES_UNDER_REGULATION_EU_2016_679,Guideline,Guidelines on the notification of personal data breaches under Regulation (EU) 2016/679
Guideline|GUIDELINES_9_2022_ON_PERSONAL_DATA_BREACH_NOTIFICATION_UNDER_GDPR,Guideline,Guidelines 9/2022 on personal data breach notification under GDPR
Guideline|GUIDELINES_4_2019_ON_ARTICLE_25_DATA_PROTECTION_BY_DESIGN_AND_BY_DEFAULT,Guideline,Guidelines 4/2019 on Article 25 Data protection by design and by default
Guideline|EDPB_GUIDELINES_01_2022_ON_DATA_SUBJECT_RIGHTS_RIGHT_OF_ACCESS,Guideline,EDPB Guidelines 01/2022 on data subject rights – Right of access
Guideline|ARTICLE_29_DATA_PROTECTION_WORKING_PARTY_GUIDELINES_ON_THE_APPLICATION_AND_SETTING_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679,Guideline,Article 29 Data Protection Working Party Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679
Guideline|GUIDELINES_NO_5_2020_ON_APPROVAL,Guideline,Guidelines no. 5/2020 on approval
Guideline|GUIDELINES_NO_05_2020,Guideline,Guidelines no. 05/2020
Guideline|GUIDELINES_OF_THE_EUROPEAN_PRIVACY_COUNCIL_NO_7_2020_ON_THE_CONCEPTS_RESPONSIBLE_PARTY_AND_PROCESSOR,Guideline,Guidelines of the European Privacy Council no. 7/2020 on the concepts responsible party and processor
Guideline|EDPB_GUIDELINES_03_2020_ON_THE_PROCESSING_OF_PERSONAL_DATA_FOR_THE_PURPOSE_OF_SCIENTIFIC_RESEARCH_IN_THE_CONTEXT_OF_THE_COVID_19_OUTBREAK,Guideline,EDPB Guidelines 03/2020 on the processing of personal data for the purpose of scientific research in the context of the COVID-19 outbreak
Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_CONTROLLER_AND_PROCESSOR_IN_THE_GDPR,Guideline,Guidelines 07/2020 on the concepts of controller and processor in the GDPR
Guideline|GUIDELINES_4_2019_ON_ARTICLE_25_DATA_PROTECTION_BY_DESIGN_AND_BY_DEFAULT,Guideline,Guidelines 4/2019 on Article 25 Data Protection by Design and by Default
Guideline|GUIDELINES_05_2020_ON_CONSENT_UNDER_REGULATION_2016_679,Guideline,Guidelines 05/2020 on consent under Regulation 2016/679
Guideline|WP259_ON_CONSENT,Guideline,WP259 on consent
Guideline|EDPB_GUIDELINES_5_2020_ON_CONSENT,Guideline,EDPB Guidelines 5/2020 on consent
Guideline|WP29_GUIDELINES_WP259_ON_CONSENT,Guideline,WP29 Guidelines WP259 on consent
Guideline|GUIDELINES_ON_TRANSPARENCY_FACILITATING_THE_APPLICATION_AND_INTERPRETATION_OF_GDPR_WP259,Guideline,Guidelines on transparency facilitating the application and interpretation of GDPR (WP259)
Guideline|WP29_OPINION_1_2010_ON_THE_CONCEPTS_OF_CONTROLLER_AND_PROCESSOR,Guideline,"WP29 Opinion 1/2010 on the concepts of ""controller"" and ""processor"""
Guideline|EDPB_GUIDELINES_2_2019_ON_THE_PROCESSING_OF_PERSONAL_DATA_UNDER_ARTICLE_6_1_B_GDPR_IN_THE_CONTEXT_OF_THE_PROVISION_OF_ONLINE_SERVICES_TO_DATA_SUBJECTS,Guideline,EDPB Guidelines 2/2019 on the processing of personal data under Article 6(1)(b) GDPR in the context of the provision of online services to data subjects
Guideline|EDPB_GUIDELINES_2_2019_ON_PROCESSING_UNDER_ARTICLE_6_1_B,Guideline,EDPB Guidelines 2/2019 on processing under Article 6(1)(b)
Guideline|EDPB_GUIDELINES_3_2019_ON_PROCESSING_OF_PERSONAL_DATA_THROUGH_VIDEO_DEVICES,Guideline,EDPB Guidelines 3/2019 on processing of personal data through video devices
Guideline|GUIDELINES_5_2020_ON_CONSENT,Guideline,Guidelines 5/2020 on consent
Guideline|GUIDELINES_01_2022_ON_DATA_SUBJECT_RIGHTS_RIGHT_OF_ACCESS,Guideline,Guidelines 01/2022 on data subject rights - Right of access
Guideline|GUIDELINES_04_2022_ON_THE_CALCULATION_OF_ADMINISTRATIVE_FINES,Guideline,Guidelines 04/2022 on the calculation of administrative fines
Guideline|WP29_GUIDELINES_ON_TRANSPARENCY_WP260_REV_01,Guideline,WP29 Guidelines on transparency (WP260 rev.01)
Guideline|GUIDELINES_ON_THE_APPLICATION_AND_SETTING_OF_ADMINISTRATIVE_FINES_WP253,Guideline,Guidelines on the application and setting of administrative fines (WP253)
Guideline|GUIDELINES_2_2019_ON_THE_PROCESSING_OF_PERSONAL_DATA_UNDER_ARTICLE_6_1_B_GDPR_IN_THE_CONTEXT_OF_THE_PROVISION_OF_ONLINE_SERVICES_TO_DATA_SUBJECTS,Guideline,Guidelines 2/2019 on the processing of personal data under Article 6(1)(b) GDPR in the context of the provision of online services to data subjects
Guideline|EDPB_OPINION_8_2019_ON_THE_COMPETENCE_OF_THE_SUPERVISORY_AUTHORITY_IN_THE_EVENT_OF_CHANGE_OF_CIRCUMSTANCES_CONCERNING_THE_MAIN_OR_SINGLE_ESTABLISHMENT,Guideline,EDPB Opinion 8/2019 on the competence of the supervisory authority in the event of change of circumstances concerning the main or single establishment
Guideline|OPINION_15_2011_ON_THE_DEFINITION_OF_CONSENT,Guideline,Opinion 15/2011 on the definition of consent
Guideline|OPINION_5_2014_ON_ANONYMISATION_TECHNIQUES,Guideline,Opinion 5/2014 on anonymisation techniques
Guideline|GUIDELINES_ON_THE_CONSENT_UNDER_REGULATION_2016_679,Guideline,Guidelines on the consent under Regulation 2016/679
Guideline|GUIDELINES_ON_THE_APPLICATION_AND_SETTING_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679,Guideline,Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679
Guideline|OPINION_2_2017_ON_DATA_PROCESSING_AT_WORK,Guideline,Opinion 2/2017 on data processing at work
Guideline|WP_253_GUIDELINES_ON_THE_APPLICATION_AND_SETTING_OF_ADMINISTRATIVE_FINES,Guideline,WP 253 Guidelines on the application and setting of administrative fines
Guideline|GUIDELINES_04_2022_ON_THE_CALCULATION_OF_ADMINISTRATIVE_FINES_UNDER_THE_GENERAL_REGULATION,Guideline,Guidelines 04/2022 on the calculation of administrative fines under the General Regulation
Guideline|GUIDELINES_07_2020_ON_THE_CONCEPTS_OF_CONTROLLER_AND_PROCESSOR,Guideline,Guidelines 07/2020 on the concepts of controller and processor
Guideline|OPINION_4_2007_ON_THE_CONCEPT_OF_PERSONAL_DATA,Guideline,Opinion 4/2007 on the concept of personal data
Guideline|OPINION_5_2019_ON_THE_INTERACTION_BETWEEN_THE_EPRIVACY_DIRECTIVE_AND_THE_GDPR,Guideline,Opinion 5/2019 on the interaction between the ePrivacy Directive and the GDPR
Guideline|GUIDELINES_4_2022_ON_THE_CALCULATION_OF_ADMINISTRATIVE_FINES,Guideline,Guidelines 4/2022 on the calculation of administrative fines
Guideline|GUIDELINES_04_2022_ON_THE_CALCULATION_OF_ADMINISTRATIVE_FINES_UNDER_THE_GDPR,Guideline,Guidelines 04/2022 on the calculation of administrative fines under the GDPR
Guideline|EDPB_GUIDELINES_1_2024_ON_PROCESSING_OF_PERSONAL_DATA_BASED_ON_ARTICLE_6_1_F_GDPR,Guideline,EDPB Guidelines 1/2024 on processing of personal data based on Article 6(1)(f) GDPR
Guideline|GUIDELINES_5_2019_ON_THE_CRITERIA_OF_THE_RIGHT_TO_BE_FORGOTTEN,Guideline,Guidelines 5/2019 on the criteria of the right to be forgotten
Guideline|OPINION_2_2017_OF_THE_WORKING_GROUP_OF_ARTICLE_29,Guideline,Opinion 2/2017 of the Working Group of article 29
Guideline|GUIDELINES_2_2019_OF_THE_EUROPEAN_COUNCIL_ON_DATA_PROTECTION,Guideline,Guidelines 2/2019 of the European Council on Data Protection
Guideline|GUIDELINES_5_2020_ON_CONSENT_UNDER_REGULATION_2016_679,Guideline,Guidelines 5/2020 on consent under Regulation 2016/679
Guideline|GUIDELINES_AND_THE_IMPLEMENTATION_AND_SETTING_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679_WP253,Guideline,Guidelines and the implementation and setting of administrative fines for the purposes of Regulation 2016/679 WP253
Guideline|GUIDELINES_5_2019,Guideline,Guidelines 5/2019
Guideline|GUIDELINES_4_2022_ON_THE_CALCULATION_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679,Guideline,Guidelines 4/2022 on the calculation of administrative fines for the purposes of Regulation 2016/679
Guideline|GUIDELINES_7_2020,Guideline,Guidelines 7/2020
Guideline|GUIDELINES_04_2022,Guideline,Guidelines 04/2022
Guideline|GUIDELINES_RELATING_TO_DATA_PROTECTION_OFFICERS,Guideline,Guidelines relating to data protection officers
Guideline|GUIDELINES_ON_THE_APPLICATION_AND_DETERMINATION_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679_WP253,Guideline,Guidelines on the application and determination of administrative fines for the purposes of Regulation 2016/679 WP253
Guideline|GUIDELINES_4_2022_OF_THE_ESPD_FOR_THE_CALCULATION_OF_ADMINISTRATIVE_FINES,Guideline,Guidelines 4/2022 of the ESPD for the calculation of administrative fines
Guideline|WP29_GUIDELINES_ON_CONSENT_UNDER_REGULATION_2016_679_WP259REV_01,Guideline,WP29 Guidelines on consent under Regulation 2016/679 (WP259rev.01)
Guideline|WP29_GUIDELINES_ON_TRANSPARENCY_UNDER_REGULATION_2016_679_WP260_REV_01,Guideline,WP29 Guidelines on transparency under Regulation 2016/679 (WP260 rev.01)
Guideline|EDPB_GUIDELINES_01_2022_ON_DATA_SUBJECTS_RIGHTS_RIGHT_OF_ACCESS,Guideline,EDPB Guidelines 01/2022 on data subjects' rights – Right of access
Guideline|GUIDELINES_04_2022_FOR_THE_CALCULATION_OF_ADMINISTRATIVE_FINES_UNDER_THE_GENERAL_REGULATION,Guideline,Guidelines 04/2022 for the calculation of administrative fines under the General Regulation
Guideline|WP29_GUIDELINES_WP_253_ON_ADMINISTRATIVE_FINES,Guideline,WP29 Guidelines WP 253 on administrative fines
Guideline|OPINION_1_2010_ON_THE_CONCEPTS_OF_CONTROLLER_AND_PROCESSOR,Guideline,Opinion 1/2010 on the concepts of controller and processor
Guideline|GUIDELINES_FOR_THE_APPLICATION_AND_DETERMINATION_OF_ADMINISTRATIVE_FINES_WP253,Guideline,Guidelines for the application and determination of administrative fines WP253
Guideline|GUIDELINES_04_2022_FOR_THE_CALCULATION_OF_ADMINISTRATIVE_FINES_UNDER_THE_GDPR,Guideline,Guidelines 04/2022 for the calculation of administrative fines under the GDPR
Guideline|GUIDELINES_FOR_THE_IMPLEMENTATION_AND_DETERMINATION_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679_OF_THE_WORKING_GROUP_OF_ARTICLE_29,Guideline,Guidelines for the implementation and determination of administrative fines for the purposes of regulation 2016/679 of the Working Group of Article 29
Guideline|GUIDELINES_01_2022_ON_THE_RIGHTS_OF_DATA_SUBJECTS_RIGHT_OF_ACCESS,Guideline,Guidelines 01/2022 on the rights of data subjects – Right of access
Guideline|WP_253_GUIDELINES_ON_THE_APPLICATION_AND_SETTING_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679,Guideline,WP 253 Guidelines on the application and setting of administrative fines for the purposes of Regulation 2016/679
Guideline|GUIDELINES_18_2018_ON_PERSONAL_DATA_BREACH_NOTIFICATION_UNDER_REGULATION,Guideline,Guidelines 18/2018 on Personal data breach notification under Regulation
Guideline|GUIDELINES_09_2022_FOR_THE_NOTIFICATION_OF_INCIDENTS_OF_VIOLATION,Guideline,Guidelines 09/2022 for the notification of incidents of violation
Guideline|GUIDELINES_04_2022_FOR_THE_CALCULATION_OF_ADMINISTRATIVE_FINES,Guideline,Guidelines 04/2022 for the calculation of administrative fines
Guideline|GUIDELINES_1_2023_FOR_THE_PROCESSING_OF_PERSONAL_DATA_FOR_THE_PURPOSE_OF_COMMUNICATION_OF_A_POLITICAL_NATURE,Guideline,Guidelines 1/2023 for the processing of personal data for the purpose of communication of a political nature
Guideline|GUIDELINES_FOR_THE_APPLICATION_AND_DETERMINATION_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679_WP_253,Guideline,Guidelines for the application and determination of administrative fines for the purposes of Regulation 2016/679 (WP 253)
Guideline|GUIDELINES_5_2019_OF_THE_EUROPEAN_DATA_PROTECTION_BOARD_REGARDING_THE_CRITERIA_GOVERNING_THE_RIGHT_TO_BE_FORGOTTEN_ACCORDING_TO_THE_GDPR_IN_THE_CASES_OF_SEARCH_ENGINES,Guideline,"Guidelines 5/2019 of the European Data Protection Board regarding the criteria governing the right to be forgotten, according to the GDPR, in the cases of search engines"
Guideline|GUIDELINES_ON_THE_IMPLEMENTATION_AND_DETERMINATION_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679_WP253,Guideline,Guidelines on the implementation and determination of administrative fines for the purposes of regulation 2016/679 WP253
Guideline|GUIDELINES_4_2022_OF_THE_EUROPEAN_DATA_PROTECTION_BOARD_FOR_THE_CALCULATION_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679,Guideline,Guidelines 4/2022 of the European Data Protection Board for the calculation of administrative fines for the purposes of Regulation 2016/679
Guideline|GUIDELINES_01_2022_ON_DATA_SUBJECTS_RIGHTS_RIGHT_OF_ACCESS,Guideline,Guidelines 01/2022 on data subjects' rights – Right of access
Guideline|GUIDELINES_FOR_THE_APPLICATION_AND_DETERMINATION_OF_ADMINISTRATIVE_FINES_FOR_THE_PURPOSES_OF_REGULATION_2016_679_WP253,Guideline,Guidelines for the application and determination of administrative fines for the purposes of Regulation 2016/679 WP253
Guideline|EDPB_GUIDELINES_04_2022_ON_CALCULATION_OF_ADMINISTRATIVE_FINES_UNDER_THE_GDPR,Guideline,EDPB Guidelines 04/2022 on calculation of administrative fines under the GDPR
Guideline|GUIDELINES_ON_TRANSPARENCY_UNDER_REGULATION_2016_679,Guideline,Guidelines on transparency under Regulation 2016/679
Guideline|GUIDELINES_4_2022_ON_CALCULATION_OF_ADMINISTRATIVE_FINES,Guideline,Guidelines 4/2022 on calculation of administrative fines
Guideline|GUIDELINES_5_2019_OF_THE_EUROPEAN_DATA_PROTECTION_BOARD_ON_THE_CRITERIA_GOVERNING_THE_RIGHT_TO_BE_FORGOTTEN_UNDER_THE_GDPR_IN_THE_CASE_OF_SEARCH_ENGINES,Guideline,Guidelines 5/2019 of the European Data Protection Board on the criteria governing the right to be forgotten under the GDPR in the case of search engines
Guideline|GUIDELINES_7_2020_ON_CONCEPTS_OF_CONTROLLER_AND_PROCESSOR,Guideline,Guidelines 7/2020 on concepts of controller and processor
Guideline|WP29_GUIDELINES_ON_ADMINISTRATIVE_FINES_WP253,Guideline,WP29 Guidelines on administrative fines (WP253)
Guideline|EDPB_RECOMMENDATIONS_01_2020_ON_MEASURES_THAT_SUPPLEMENT_TRANSFER_TOOLS_TO_ENSURE_COMPLIANCE_WITH_THE_EU_LEVEL_OF_PROTECTION_OF_PERSONAL_DATA,Guideline,EDPB Recommendations 01/2020 on measures that supplement transfer tools to ensure compliance with the EU level of protection of personal data
Guideline|EDPB_GUIDELINES_01_2022_ON_DATA_SUBJECT_RIGHTS_RIGHT_OF_ACCESS,Guideline,EDPB Guidelines 01/2022 on data subject rights - Right of access
Guideline|EDPB_GUIDELINES_05_2020_ON_CONSENT_PURSUANT_TO_REGULATION_2016_679,Guideline,EDPB Guidelines 05/2020 on Consent pursuant to Regulation 2016/679
Guideline|OPINION_NO_05_2014_ON_ANONYMIZATION_TECHNIQUES,Guideline,Opinion No. 05/2014 on anonymization techniques
Guideline|GUIDELINES_ON_TRANSPARENCY_WITHIN_THE_MEANING_OF_REGULATION_EU_2016_679,Guideline,Guidelines on transparency within the meaning of Regulation (EU) 2016/679
Guideline|GUIDELINES_3_2018_ON_THE_TERRITORIAL_SCOPE_OF_THE_GDPR,Guideline,Guidelines 3/2018 on the territorial scope of the GDPR
Guideline|OPINION_06_2014_ON_THE_NOTION_OF_LEGITIMATE_INTERESTS,Guideline,Opinion 06/2014 on the notion of legitimate interests
Guideline|WP244,Guideline,WP244
Guideline|WP260,Guideline,WP260
Guideline|WP250,Guideline,WP250
Guideline|GUIDELINES_ON_TRANSPARENCY_WITHIN_THE_MEANING_OF_THE_REGULATION,Guideline,guidelines on transparency within the meaning of the Regulation
Guideline|GUIDELINES_ON_TRANSPARENCY_WITHIN_THE_MEANING_OF_THE_REGULATION,Guideline,Guidelines on transparency within the meaning of the Regulation
Guideline|EDPB_GUIDELINES_04_2020_ON_THE_USE_OF_LOCATION_DATA_AND_CONTACT_TRACING_TOOLS_IN_THE_CONTEXT_OF_THE_COVID_19_OUTBREAK,Guideline,EDPB Guidelines 04/2020 on the use of location data and contact tracing tools in the context of the COVID-19 outbreak
Guideline|GUIDELINES_07_2020,Guideline,Guidelines 07/2020
Guideline|GUIDELINES_5_2020_ON_CONSENT_WITHIN_THE_MEANING_OF_REGULATION_EU_2016_679,Guideline,Guidelines 5/2020 on consent within the meaning of Regulation (EU) 2016/679
Guideline|OPINION_5_2019_ON_THE_INTERACTIONS_BETWEEN_THE_EPRIVACY_DIRECTIVE_AND_THE_GDPR,Guideline,Opinion 5/2019 on the interactions between the ePrivacy Directive and the GDPR
Guideline|GUIDELINES_ON_DATA_PROTECTION_BY_DESIGN_AND_BY_DEFAULT,Guideline,Guidelines on data protection by design and by default
Guideline|GUIDELINES_ON_DPIA_AND_HOW_TO_DETERMINE_WHETHER_PROCESSING_IS_LIKELY_TO_RESULT_IN_A_HIGH_RISK,Guideline,Guidelines on DPIA and how to determine whether processing is likely to result in a high risk
Guideline|GUIDELINES_07_2020_CONCERNING_THE_NOTIONS_OF_CONTROLLER_AND_PROCESSOR_IN_THE_GDPR,Guideline,Guidelines 07/2020 concerning the notions of controller and processor in the GDPR
Guideline|GUIDELINES_ON_PERSONAL_DATA_BREACH_NOTIFICATION,Guideline,Guidelines on personal data breach notification
Guideline|GUIDELINES_04_2022_ON_THE_CALCULATION_OF_THE_AMOUNT_OF_ADMINISTRATIVE_FINES,Guideline,Guidelines 04/2022 on the calculation of the amount of administrative fines
Guideline|GUIDELINES_ON_TRANSPARENCY_UNDER_REGULATION_EU_2016_679,Guideline,Guidelines on transparency under Regulation (EU) 2016/679
Guideline|GUIDELINES_ON_THE_RIGHTS_OF_DATA_SUBJECTS_RIGHT_OF_ACCESS,Guideline,Guidelines on the rights of data subjects - right of access
Guideline|GUIDELINES_5_2019_ON_THE_CRITERIA_OF_THE_RIGHT_TO_BE_FORGOTTEN_IN_THE_SEARCH_ENGINES_CASES_UNDER_THE_GDPR,Guideline,Guidelines 5/2019 on the criteria of the Right to be Forgotten in the search engines cases under the GDPR
Guideline|GUIDELINES_ON_THE_IMPLEMENTATION_OF_THE_COURT_OF_JUSTICE_OF_THE_EUROPEAN_UNION_JUDGMENT_ON_GOOGLE_SPAIN_AND_INC_V_AGENCIA_ESPA_OLA_DE_PROTECCI_N_DE_DATOS_AEPD_AND_MARIO_COSTEJA_GONZ_LEZ_C_131_12,Guideline,guidelines on the implementation of the Court of Justice of the European Union judgment on Google Spain and Inc v. Agencia Española de Protección de Datos (AEPD) and Mario Costeja González C-131/12
Guideline|EDPB_GUIDELINES_4_2019_ON_BUILT_IN_AND_DEFAULT_DATA_PROTECTION_PURSUANT_TO_ARTICLE_25,Guideline,EDPB Guidelines 4/2019 on built-in and default data protection pursuant to Article 25
Guideline|GUIDELINES_ON_DATA_SUBJECT_RIGHTS_RIGHT_OF_ACCESS,Guideline,Guidelines on data subject rights - Right of access
Guideline|GUIDELINES_3_2019_ON_THE_PROCESSING_OF_PERSONAL_DATA_BY_VIDEO_EQUIPMENT,Guideline,Guidelines 3/2019 on the processing of personal data by video equipment
Guideline|WP29_GUIDELINES_ON_THE_REPORTING_OF_A_PERSONAL_DATA_BREACH_UNDER_REGULATION_EU_2016_679,Guideline,WP29 Guidelines on the Reporting of a Personal Data Breach under Regulation (EU) 2016/679
Guideline|REPORT_OF_THE_WORKING_PARTY_ON_THE_IMPLEMENTATION_OF_THE_EU_GENERAL_DATA_PROTECTION_REGULATION_TATTI,Guideline,Report of the Working Party on the Implementation of the EU General Data Protection Regulation (TATTI)
Guideline|GUIDELINES_05_2020_ON_CONSENT_ACCORDING_TO_THE_GENERAL_DATA_PROTECTION_REGULATION,Guideline,Guidelines 05/2020 on consent according to the General Data Protection Regulation
Guideline|EDPB_GUIDELINES_4_2019_ON_BUILT_IN_AND_DEFAULT_DATA_PROTECTION_PURSUANT_TO_ARTICLE_25_VERSION_2_0,Guideline,EDPB Guidelines 4/2019 on built-in and default data protection pursuant to Article 25 Version 2.0
Guideline|EDPB_GUIDELINES_02_2021_ON_VIRTUAL_ASSISTANTS_CONTROLLED_BY_VOICE_COMMANDS_VERSION_2_0,Guideline,EDPB Guidelines 02/2021 on virtual assistants controlled by voice commands Version 2.0
Guideline|GUIDELINES_FOR_CONSENT_ACCORDING_TO_REGULATION_2016_679_05_2020,Guideline,Guidelines for consent according to Regulation 2016/679 05/2020
Guideline|EDPB_GUIDELINES_05_2020_ON_CONSENT,Guideline,EDPB Guidelines 05/2020 on consent
