id,a1_country_code,a2_authority_name,a3_appellate_decision,a4_decision_year,a5_decision_month,a6_num_defendants,a7_defendant_name,a8_defendant_class,a9_enterprise_size,a10_gov_level,a11_defendant_role,a12_sector,a13_sector_other,a14_processing_contexts,a15_data_subject_complaint,a16_media_attention,a17_official_audit,a18_art33_discussed,a19_art33_breached,a20_breach_notification_effect,a53_fine_imposed,a54_fine_amount,a55_fine_currency,a71_first_violation,a72_cross_border_oss,a73_oss_role,a77_articles_breached
Spain_423,ES,Spanish Agency for Data Protection,NO,2020,11,1,"XFERA MÓVILES, S.A.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,40000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
Spain_424,ES,Spanish Data Protection Agency,NO,2019,11,1,CERRAJERO ONLINE S.L.,PRIVATE,SME,NOT_APPLICABLE,CONTROLLER,OTHER,locksmith;home;services,NOT_DISCUSSED,NO,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,900,EUR,YES_FIRST_TIME,NO,NOT_APPLICABLE,13
Spain_427,ES,Spanish Data Protection Agency,NO,2019,11,1,TODOTECNICOS24H S.L.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,website;technical_services,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,900,EUR,YES_FIRST_TIME,NO,NOT_APPLICABLE,13
Spain_428,ES,Spanish Agency for Data Protection,NO,2020,0,1,THE WASHPOINT S.L.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,DIGITAL_SERVICES,NOT_APPLICABLE,COOKIES,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,2000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,13
Spain_429,ES,Spanish Agency for Data Protection,NO,2022,7,1,MINISTRY OF HEALTH OF THE COMMUNITY OF MADRID,PUBLIC,NOT_APPLICABLE,STATE,CONTROLLER,HEALTH,NOT_APPLICABLE,NOT_DISCUSSED,YES,YES,YES,YES,YES,AGGRAVATING,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5;25;32;33
Spain_430,ES,Spanish Data Protection Agency,NO,2019,0,1,SERVICIO DE SALUD DE CASTILLA-LA MANCHA,PUBLIC,NOT_APPLICABLE,STATE,CONTROLLER,HEALTH,NOT_APPLICABLE,RECRUITMENT_AND_HR,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_431,ES,Spanish Agency for Data Protection,NO,2019,0,1,AAA,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,HOUSING_TOURISM,NOT_APPLICABLE,CCTV,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,2000,EUR,YES_FIRST_TIME,NO,NOT_APPLICABLE,5
Spain_432,ES,Spanish Data Protection Agency,NO,2019,12,1,A.A.A.,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,HOUSING_TOURISM,NOT_APPLICABLE,CCTV,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,2000,EUR,YES_FIRST_TIME,NO,NOT_APPLICABLE,5;13
Spain_433,ES,Spanish Agency for Data Protection,NO,2020,11,1,B.B.B.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,beauty;aesthetics,MARKETING,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,1000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_DISCUSSED
Spain_434,ES,Spanish Agency for Data Protection,NO,2020,0,1,CENTRAL SINDICAL INDEPENDIENTE Y DE OFFICIALS CSI-CSIF,NGO_OR_NONPROFIT,UNKNOWN,NOT_APPLICABLE,CONTROLLER,MEMBERSHIP_ORGS,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,3000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_435,ES,Spanish Agency for Data Protection,NO,2020,0,1,"RAISE MARKETING, SL",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,DIGITAL_SERVICES,NOT_APPLICABLE,MARKETING,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,1500,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,21
Spain_436,ES,Spanish Data Protection Agency,NO,2019,0,1,"VODAFONE ESPAÑA, S.A.U.",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,50000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_437,ES,Spanish Agency for Data Protection,NO,2021,0,1,"WW E-SERVICES IBERIA, S.L.U. (WESTWING)",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,RETAIL,NOT_APPLICABLE,COOKIES;CUSTOMER_LOYALTY_CLUBS,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_DISCUSSED
Spain_438,ES,Spanish Data Protection Agency,NO,2019,0,1,"Vodafone España, S.A.U.",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,75000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
Spain_439,ES,Spanish Agency for Data Protection,NO,2020,11,1,A.A.A.,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,OTHER,SOCIAL_MEDIA;IDENTITY_THEFT,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,1200,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_440,ES,Spanish Agency for Data Protection,NO,2020,0,1,B.B.B.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,DIGITAL_SERVICES,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,9000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6;13
Spain_441,ES,Spanish Agency for Data Protection,NO,2022,0,1,UNITED PARCEL SERVICE ESPAÑA LTD AND COMPAÑIA SRC,PRIVATE,LARGE,NOT_APPLICABLE,PROCESSOR,DIGITAL_SERVICES,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,70000,EUR,NOT_DISCUSSED,NO,NOT_APPLICABLE,5;32
Spain_443,ES,Spanish Agency for Data Protection,NO,2021,0,1,HANDBALL FEDERATION OF THE PRINCIPALITY OF ASTURIAS,NGO_OR_NONPROFIT,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,SPORTS_FEDERATION,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,13;37
Spain_444,ES,Spanish Agency for Data Protection,NO,2020,0,1,"COMERCIO ONLINE LEVANTE, S.L.",PRIVATE,SME,NOT_APPLICABLE,CONTROLLER,RETAIL,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,3000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5;32
Spain_445,ES,Spanish Data Protection Agency,NO,2019,10,1,"JOKER PREMIUM INVEX, S.L.",PRIVATE,SME,NOT_APPLICABLE,CONTROLLER,DIGITAL_SERVICES,NOT_APPLICABLE,MARKETING,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,6000,EUR,NOT_DISCUSSED,NO,NOT_APPLICABLE,6
Spain_446,ES,Spanish Agency for Data Protection,NO,2020,0,1,A.A.A.,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,OTHER,wedding;events;social_media,COOKIES,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_DISCUSSED
Spain_449,ES,Spanish Agency for Data Protection,NO,2019,0,1,"TWITTER INTERNATIONAL COMPANY (TWITTER SPAIN, SL)",PRIVATE,VERY_LARGE,NOT_APPLICABLE,CONTROLLER,DIGITAL_SERVICES,NOT_APPLICABLE,COOKIES,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,30000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NOT_DISCUSSED
Spain_450,ES,Spanish Agency for Data Protection,NO,2020,11,1,"TNT EXPRESS WORLDWIDE SPAIN, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,logistics;courier;delivery_services,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,10000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_451,ES,Spanish Agency for Data Protection,NO,2020,10,1,"Vodafone España, S.A.U.",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,36000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
Spain_452,ES,Spanish Agency for Data Protection,NO,2020,0,1,CAFE BAR NINA (Nina Cb),PRIVATE,SME,NOT_APPLICABLE,CONTROLLER,RETAIL,NOT_APPLICABLE,CCTV,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,2000,EUR,NO_REPEAT_OFFENDER,NO,NOT_APPLICABLE,5
Spain_453,ES,Spanish Agency for Data Protection,NO,2020,11,1,"VODAFONE ESPAÑA, SAU",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,36000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
Spain_454,ES,Spanish Agency for Data Protection,NO,2021,8,1,"ORANGE ESPAGNE, S.A.U.",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,30000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
Spain_455,ES,Spanish Data Protection Agency,NO,2023,7,1,"ATRESMEDIA CORPORACIÓN DE MEDIOS DE COMUNICACIÓN, S.A.",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,MEDIA,NOT_APPLICABLE,JOURNALISM,YES,YES,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,30000,EUR,YES_FIRST_TIME,NO,NOT_APPLICABLE,5
Spain_456,ES,Spanish Agency for Data Protection,NO,2021,4,1,MOLINA DE SEGURA CITY COUNCIL,PUBLIC,NOT_APPLICABLE,MUNICIPAL,CONTROLLER,OTHER_PUBLIC_ADMIN,NOT_APPLICABLE,DPO_ROLE_PROBLEMS_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,0,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,37
Spain_457,ES,Spanish Data Protection Agency,NO,2019,0,1,ASOCIACIÓN ESPAÑOLA PARA LA PREVENCIÓN DEL ACOSACOLAR,NGO_OR_NONPROFIT,UNKNOWN,NOT_APPLICABLE,CONTROLLER,EDUCATION,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,13
Spain_458,ES,Spanish Agency for Data Protection,NO,2021,0,1,"SIGNALLIA MARKETING DISTRIBUTION, S.A.",PRIVATE,SME,NOT_APPLICABLE,PROCESSOR,HOUSING_TOURISM,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,100000,EUR,YES_FIRST_TIME,NOT_DISCUSSED,NOT_APPLICABLE,28
Spain_459,ES,Spanish Agency for Data Protection,NO,2020,0,1,"DR MARÍN CIRUGIA PLÁSTICA, S.L.P.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,HEALTH,NOT_APPLICABLE,MARKETING;PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,2400,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,13
Spain_460,ES,Spanish Agency for Data Protection,NO,2020,3,1,"Servicio de Alojamientos Responsables, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,accommodation;housing,NOT_DISCUSSED,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,6000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
Spain_461,ES,Spanish Agency for Data Protection,NO,2020,11,1,LOSADA ADVOCATS S.L.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,CONSULTING,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,6000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5;32
Spain_462,ES,Spanish Agency for Data Protection,NO,2021,0,1,"SEGURCAIXA ADESLAS, S.A. OF INSURANCE AND REINSURANCE",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,FINANCIAL,NOT_APPLICABLE,MARKETING,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,300000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6;17;28
Spain_463,ES,Spanish Data Protection Agency,NO,2019,0,1,EL MAESTRO CERRAJERO SL,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,locksmith;emergency_services,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NONE_VIOLATED
Spain_464,ES,Spanish Agency for Data Protection,NO,2020,0,1,*** COMPANY.1.,PRIVATE,SME,NOT_APPLICABLE,CONTROLLER,OTHER,freight;transport;logistics,EMPLOYEE_MONITORING;PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,10000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_465,ES,Spanish Agency for Data Protection,NO,2021,0,1,"IZA OBRAS Y PROMOCIONES, S.A.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,construction;real_estate,RECRUITMENT_AND_HR,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,50000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,5
Spain_466,ES,Spanish Agency for Data Protection,NO,2020,0,1,CITY COUNCIL OF IMPROVEMENT OF THE FIELD,PUBLIC,NOT_APPLICABLE,MUNICIPAL,CONTROLLER,OTHER_PUBLIC_ADMIN,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,37
Spain_467,ES,Spanish Agency for Data Protection,NO,2021,0,1,CITY COUNCIL OF BURGOS,PUBLIC,NOT_APPLICABLE,MUNICIPAL,CONTROLLER,OTHER_PUBLIC_ADMIN,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,37
Spain_469,ES,Spanish Data Protection Agency,NO,2020,0,1,B.B.B.,PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,OTHER,CCTV;SECURITY,CCTV,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,YES_FIRST_TIME,NO,NOT_APPLICABLE,5
Spain_470,ES,Spanish Agency for Data Protection,NO,2020,12,1,"BORJAMOTOR, S.A.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,RETAIL,NOT_APPLICABLE,MARKETING,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,4800,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,7
Spain_471,ES,Spanish Data Protection Agency,NO,2019,0,1,"TECSIBLE, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,NOT_MENTIONED,TELECOM,NOT_APPLICABLE,MARKETING,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NONE_VIOLATED
Spain_472,ES,Spanish Agency for Data Protection,NO,2021,0,1,B.B.B.,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,OTHER,FORMER_EMPLOYEE;CLIENT_DATA_MISUSE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,YES_FIRST_TIME,NO,NOT_APPLICABLE,6
Spain_473,ES,Spanish Agency for Data Protection,NO,2019,0,1,AAA,INDIVIDUAL,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,OTHER,photography;mobile_device;public_space,CCTV,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,4000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
Spain_474,ES,Spanish Agency for Data Protection,NO,2021,0,1,"IDFINANCE SPAIN, S.L.",PRIVATE,UNKNOWN,NOT_APPLICABLE,CONTROLLER,FINANCIAL,NOT_APPLICABLE,PROBLEMATIC_THIRD_PARTY_SHARING_STATED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,3000,EUR,NOT_DISCUSSED,NO,NOT_APPLICABLE,5;32
Spain_476,ES,Spanish Data Protection Agency,NO,2019,11,1,Compromís,OTHER,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,OTHER,POLITICAL_PARTY,NOT_DISCUSSED,YES,NOT_DISCUSSED,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,NONE_VIOLATED
Spain_477,ES,Spanish Data Protection Agency,NO,2019,0,1,PARTIDO ARAGONÉS REGIONALISTA,OTHER,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,OTHER,POLITICAL_PARTY,MARKETING,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,YES_FIRST_TIME,NO,NOT_APPLICABLE,6;21
Spain_478,ES,Spanish Data Protection Agency,NO,2019,0,1,Partit dels Socialistes de Catalunya (PSC-PSOE),OTHER,NOT_APPLICABLE,NOT_APPLICABLE,CONTROLLER,OTHER,POLITICAL_PARTY,MARKETING,YES,NOT_DISCUSSED,NO,NO,NOT_APPLICABLE,NOT_DISCUSSED,NO,NOT_APPLICABLE,NOT_APPLICABLE,YES_FIRST_TIME,NO,NOT_APPLICABLE,21
Spain_479,ES,Spanish Agency for Data Protection,NO,2020,0,1,"VODAFONE ESPAÑA, S.A.U.",PRIVATE,LARGE,NOT_APPLICABLE,CONTROLLER,TELECOM,NOT_APPLICABLE,NOT_DISCUSSED,YES,NOT_DISCUSSED,YES,NO,NOT_APPLICABLE,NOT_DISCUSSED,YES,30000,EUR,NOT_DISCUSSED,NOT_DISCUSSED,NOT_APPLICABLE,6
